"92.6.85.111","8924","100.10.20.4","http","9","3412","5","406","4","3006","0.361099000","46.4845","69.87","517.33"
"92.6.85.108","8925","100.10.20.4","http","206","178438","84","6164","122","172274","0.361764000","108.0683","456.30","12752.98"
"89.44.100.114","8957","100.10.20.4","http","9","3412","5","406","4","3006","0.611159000","46.2424","70.24","520.04"
"92.6.85.106","8997","100.10.20.4","http","9","3412","5","406","4","3006","1.341163000","45.5172","71.36","528.33"
"100.10.20.9","ipfix","100.10.20.3","cap","100","28864","60","11680","40","17184","2.439734000","1201.3552","77.78","114.43"
"100.10.20.9","4723","100.10.20.3","cap","113","30484","67","12112","46","18372","2.442552000","1201.3524","80.66","122.34"
"100.10.20.3","19630","100.10.20.9","fcis","899","253396","410","81054","489","172342","2.447840000","1201.4565","539.70","1147.55"
"100.10.20.11","dbref","100.10.20.20","netbios-ssn","38","3904","21","2348","17","1556","4.173180000","65.8991","285.04","188.89"
"92.6.85.108","iqrm","100.10.20.4","http","171","143375","70","5086","101","138289","4.311706000","101.0552","402.63","10947.60"
"100.1.4.252","60246","100.10.20.3","smtp","27","8649","14","7075","13","1574","8.798454000","0.2919","193892.72","43135.99"
"100.10.20.3","19630","100.10.20.10","fatpipe","647","215384","315","129414","332","85970","9.398878000","1206.2624","858.28","570.16"
"100.10.20.8","lot105-ds-upd","100.10.20.20","microsoft-ds","2","122","1","62","1","60","9.768966000","0.0001","N/A","N/A"
"100.10.20.8","weblogin","100.10.20.20","netbios-ssn","50","5256","26","3123","24","2133","9.769234000","149.4022","167.23","114.22"
"100.10.20.20","filenet-rmi","100.10.20.3","microsoft-ds","168","26348","98","14056","70","12292","9.786150000","1050.1169","107.08","93.64"
"100.10.20.20","33085","100.10.20.3","microsoft-ds","29","4764","16","2621","13","2143","10.058762000","0.2859","73349.56","59972.57"
"100.10.20.7","dtn1","100.10.20.20","microsoft-ds","2","122","1","62","1","60","12.344061000","0.0001","N/A","N/A"
"100.10.20.7","bues-service","100.10.20.20","netbios-ssn","30","3088","15","1742","15","1346","12.344207000","74.9399","185.96","143.69"
