"100.10.20.8","opsession-prxy","40.219.61.25","ftp-data","18","11112","10","10584","8","528","0.000000000","0.0048","17765841.38","886277.80"
"100.10.20.8","tsrmagt","40.219.61.25","ftp","949","89178","462","34594","487","54584","0.000791000","37.1829","7443.00","11743.90"
"100.10.20.8","tns-adv","40.219.61.25","ftp-data","41","22182","21","20854","20","1328","0.002581000","0.0161","10360948.95","659793.81"
"100.10.20.8","tns-server","40.219.61.25","ftp-data","34","21700","19","20710","15","990","0.003643000","0.0091","18132866.37","866805.30"
"100.10.20.8","newlixconfig","40.219.61.25","ftp","1025","96917","499","37435","526","59482","0.004699000","40.0298","7481.42","11887.54"
"89.44.100.109","11955","100.20.3.106","ssh","7281","822354","4626","407748","2655","414606","0.007221000","511.3144","7134.37","7168.51"
"100.5.111.170","10791","82.239.248.66","http","1233","1251164","423","28530","810","1222634","0.007228000","0.8356","273161.39","11706148.05"
"100.10.20.8","dyna-access","40.219.61.25","ftp-data","38","21984","20","20788","18","1196","0.011972000","0.0130","12830118.81","738157.69"
"100.10.20.8","vrtl-vmf-sa","40.219.61.25","ftp","1026","96895","499","37432","527","59463","0.191261000","39.6114","7559.85","12009.28"
"100.10.20.8","newlixengine","40.219.61.25","ftp","924","86843","451","33733","473","53110","0.191265000","36.3369","7426.73","11692.81"
"100.10.20.8","mcns-tel-ret","40.219.61.25","ftp-data","38","21984","21","20854","17","1130","0.215343000","0.0365","4570614.50","247664.45"
"100.10.20.8","uorb","40.219.61.25","ftp-data","50","30456","28","28996","22","1460","0.240336000","0.0305","7607753.11","383063.85"
"100.10.20.8","appman-server","40.219.61.25","ftp-data","37","21918","20","20788","17","1130","0.242369000","0.0299","5564612.19","302482.77"
"100.10.20.8","uohost","40.219.61.25","ftp-data","49","29366","27","27906","22","1460","0.245117000","0.0206","10850976.96","567706.81"
"100.10.20.8","cdid","40.219.61.25","ftp-data","6","416","3","210","3","206","0.430874000","0.0114","147458.97","144650.22"
"100.10.20.8","aicc-cmi","40.219.61.25","ftp-data","6","416","3","210","3","206","0.436542000","0.0111","151926.21","149032.37"
